الباركود,"الاسم بالعربية","الاسم بالإنجليزية",السعر,"نوع التسعير",المخزون,القسم
00001,"كبده بقري استرالي","Australian Beef Liver",220,وزن,50,"لحوم طازجة"
00002,"كبده بتلو","Veal Liver",210,وزن,50,"لحوم طازجة"
00003,"كبده ضاني","Mutton Liver",500,وزن,30,"لحوم طازجة"
00004,قلب,"Beef Heart",160,وزن,20,"لحوم طازجة"
00005,كلاوي,"Beef Kidneys",200,وزن,20,"لحوم طازجة"
00006,عكاوي,"Beef Oxtail",280,وزن,15,"لحوم طازجة"
00007,"بوش ضاني","Mutton Fat",160,وزن,40,"لحوم طازجة"
00008,"بوش بقري","Beef Fat",160,وزن,40,"لحوم طازجة"
00009,"منديل طرب","Caul Fat Tarab",250,وزن,25,"لحوم طازجة"
00010,"كباب حله برازيلي","Brazilian Kebab Halla",340,وزن,60,"لحوم طازجة"
00011,"فخده بتلو هندي","Veal Thigh Indian",350,وزن,40,"لحوم طازجة"
00012,"موزه خلفي بقري","Beef Hind Shank",330,وزن,45,"لحوم طازجة"
00013,"بفتيك بقري","Beef Steak Escalope",350,وزن,40,"لحوم طازجة"
00014,"برسكيت بقري برازيلي","Brazilian Beef Brisket",320,وزن,35,"لحوم طازجة"
00015,"كتف بتلو بالعظم","Veal Shoulder Bone-in",220,وزن,30,"لحوم طازجة"
00016,"كتف ضاني","Mutton Shoulder",450,وزن,30,"لحوم طازجة"
00017,"شاورما بقري","Beef Shawarma",350,وزن,35,"لحوم طازجة"
00018,"بفتيك جاموس","Buffalo Steak",330,وزن,30,"لحوم طازجة"
00019,"ريشه ضاني","Mutton Ribs",750,وزن,25,"لحوم طازجة"
00020,"موزه ضاني خلفيه","Mutton Hind Shank",630,وزن,25,"لحوم طازجة"
00021,"خروف كامل بالوزن","Whole Sheep Weight",460,وزن,10,"لحوم طازجة"
00022,"مفروم برازيلي","Brazilian Minced Beef",280,وزن,80,"لحوم طازجة"
00023,"مفروم جاموس هندي","Indian Buffalo Minced",230,وزن,70,"لحوم طازجة"
00024,"كفته ارز","Rice Kofta Meat",180,وزن,50,"لحوم طازجة"
00025,"كفته شوي","Grilling Kofta",220,وزن,50,"لحوم طازجة"
00026,"سجق شرقي","Oriental Sausage",200,وزن,40,"لحوم طازجة"
00027,برجر,"Beef Burger",240,وزن,40,"لحوم طازجة"
00028,حواوشي,"Hawawshi Meat",180,وزن,60,"لحوم طازجة"
00029,"كباب حله هندي","Indian Kebab Halla",290,وزن,50,"لحوم طازجة"
00030,"عرق تربينكو","Terbinko Beef Lace",310,وزن,30,"لحوم طازجة"
00031,"فراخ ساديا 1100","Sadia Chicken 1100g",180,وزن,50,دواجن
00032,"فراخ نيرفا 1100","Nerva Chicken 1100g",180,وزن,50,دواجن
00033,"شاورما جاموس","Buffalo Shawarma",330,وزن,30,"لحوم طازجة"
00034,"انتركوت جاموس","Buffalo Entrecote",290,وزن,30,"لحوم طازجة"
00035,"كبده بلدي","Local Baladi Liver",380,وزن,20,"لحوم طازجة"
00036,"كفته طرب","Tarab Kofta",280,وزن,30,"لحوم طازجة"
00037,"بط للكيلو","Duck Per Kg",120,وزن,40,دواجن
00038,"صدور بط للكيلو","Duck Breast Per Kg",120,وزن,30,دواجن
00039,"اوراك بط للكيلو","Duck Thighs Per Kg",120,وزن,30,دواجن
00040,كوارع,"Cow Trotters",150,وزن,20,"لحوم طازجة"
00041,"مفروم بلدي","Baladi Minced Beef",330,وزن,40,"لحوم طازجة"
00042,"لحمة ضاني","Mutton Fresh Meat",450,وزن,40,"لحوم طازجة"
00043,روزبيف,"Beef Roast Rosebeef",290,وزن,30,"لحوم طازجة"
00044,ملوخية,"Frozen Molokhia",15,وزن,100,مجمدات
00045,استربس,"Chicken Strips",180,وزن,40,مجمدات
00050,"خل طباخ","Cook Vinegar",10,وزن,80,"صلصات وبقالة"
00051,"صلصة تافي","Tafi Sauce Glass",20,وزن,60,"صلصات وبقالة"
00052,"تونة دولفين","Dolphin Tuna",45,وزن,100,"صلصات وبقالة"
00053,بطة,"Whole Duck Item",120,وزن,20,دواجن
00054,جلاش,"Sultan Goulash Pastry",20,وزن,50,مجمدات
00064,"كبده برازيلي","Brazilian Beef Liver",180,وزن,40,"لحوم طازجة"
00065,سمان,"Fresh Quails",80,قطعة,30,دواجن
00066,"فخدة بتلو","Veal Thigh/Leg",350,وزن,30,"لحوم طازجة"
00067,"فلتو هندي","Indian Beef Fillet",420,وزن,20,"لحوم طازجة"
00068,"صوابع بقري","Beef Kofta Fingers",340,وزن,25,"لحوم طازجة"
00069,"موزه امامي ضاني","Mutton Fore Shank",590,وزن,20,"لحوم طازجة"
200,"كاتشب صغير","Small Ketchup",25,قطعة,150,"صلصات وبقالة"
201,"كاتشب كبير","Large Ketchup",45,قطعة,100,"صلصات وبقالة"
202,"مايونيز صغير","Small Mayonnaise",30,قطعة,120,"صلصات وبقالة"
203,"مايونيز كبير","Large Mayonnaise",55,قطعة,80,"صلصات وبقالة"
204,"باربيكيو صغير","Small BBQ Sauce",30,قطعة,100,"صلصات وبقالة"
205,"باربيكيو كبير","Large BBQ Sauce",55,قطعة,70,"صلصات وبقالة"
206,"رانش صغير","Small Ranch Sauce",35,قطعة,80,"صلصات وبقالة"
207,"رانش كبير","Large Ranch Sauce",65,قطعة,60,"صلصات وبقالة"
208,شيدر,"Cheddar Cheese Sauce",70,قطعة,50,"صلصات وبقالة"
209,ثوميه,"Garlic Toumeya Sauce",55,قطعة,60,"صلصات وبقالة"
210,"تكساس برجر صغير","Small Texas Burger",40,قطعة,80,"صلصات وبقالة"
211,"تكساس برجر كبير","Large Texas Burger",75,قطعة,60,"صلصات وبقالة"
212,"سويت شيلي","Sweet Chili Sauce",75,قطعة,50,"صلصات وبقالة"
213,"مايونيز 1 كيلو","Mayonnaise 1 Kg Bottle",75,قطعة,40,"صلصات وبقالة"
214,"كاتشب 1 كيلو","Ketchup 1 Kg Bottle",45,قطعة,50,"صلصات وبقالة"
215,"مجموعه مائده","Maeda Meal Kit Combo",65,قطعة,30,"صلصات وبقالة"
216,"نوتيلا مكس","Nutella Mix Chocolate",105,قطعة,40,"صلصات وبقالة"
217,"كيس كريسبي","Crispy Batter Bag",20,قطعة,100,"صلصات وبقالة"
218,"خل لؤلؤ","Pearl Vinegar Bottle",15,قطعة,90,"صلصات وبقالة"
219,"خل طبخه","Cooking Vinegar Bottle",10,قطعة,120,"صلصات وبقالة"
220,"مرق عنب","Grape Vinegar Stock",40,قطعة,50,"صلصات وبقالة"
221,"ظروف صلصه","Sachets Sauce Pack",2.5,قطعة,300,"صلصات وبقالة"
222,"صلسه بست 400جم","Best Tomato Paste 400g",40,قطعة,80,"صلصات وبقالة"
223,"صلسه تافي زجاج","Tafi Glass Paste Bottle",20,قطعة,80,"صلصات وبقالة"
224,"صلسه سادور 2700جم","Sador Paste 2700g Can",200,قطعة,20,"صلصات وبقالة"
225,"صلسه سادور 800جم","Sador Paste 800g Can",65,قطعة,40,"صلصات وبقالة"
226,"صلسه سادور 400جم","Sador Paste 400g Can",35,قطعة,60,"صلصات وبقالة"
227,"صلسه يوسي 2700جم","UC Paste 2700g Can",135,قطعة,25,"صلصات وبقالة"
228,"بطاطس فارم 2.5ك","Farm Frites Fries 2.5kg",150,قطعة,60,مجمدات
229,"بطاطس فارم 1ك","Farm Frites Fries 1kg",75,قطعة,80,مجمدات
230,"دجاج شرائح 500جم","Chicken Strips Slice 500g",90,قطعة,50,مجمدات
231,"رومي شرائح 500جم","Turkey Strips Slice 500g",110,قطعة,40,مجمدات
232,"بقري شرائح 500جم","Beef Strips Slice 500g",120,قطعة,40,مجمدات
233,"سلامي 500جم","Salami Beef 500g Pack",130,قطعة,30,مجمدات
234,"توابل الشرق الاقصى","Far East Spices Mix",340,قطعة,50,"بهارات وتوابل"
235,"مرقه دجاج مكعبات","Chicken Broth Cubes Box",175,قطعة,40,"صلصات وبقالة"
236,"مرقه دجاج مسحوق","Chicken Broth Powder 1kg",220,قطعة,30,"صلصات وبقالة"
237,"تكساس برجر جالون","Texas Burger Gallon",670,قطعة,10,"صلصات وبقالة"
238,"رانش برجر جالون","Ranch Burger Gallon",490,قطعة,12,"صلصات وبقالة"
239,"صوص 1000 ايلند","Thousand Island Gallon",480,قطعة,10,"صلصات وبقالة"
240,"ملوخيه لذة","Laza Frozen Molokhia",15,قطعة,100,مجمدات
241,"ملوخيه مونتانا","Montana Frozen Molokhia",20,قطعة,80,مجمدات
242,"بسله جزر بسمه","Basma Peas & Carrots",30,قطعة,60,مجمدات
243,"ورق عنب مونتانا","Montana Grape Leaves",25,قطعة,50,مجمدات
244,"مصروده السلطان 1ك","Sultan Masrouda 1kg",15,قطعة,30,مجمدات
245,"مخروطه السلطان 1ك","Sultan Makhrouta 1kg",10,قطعة,35,مجمدات
246,"كسكسي السلطان 1ك","Sultan Couscous 1kg",40,قطعة,40,مجمدات
247,"جلاش السلطان","Sultan Goulash Pastry Roll",20,قطعة,60,مجمدات
